Site,Page,Run,Total Requests,API Requests,Redundant Calls,N+1 Patterns,Missing Cache %,Oversized Payloads,Uncompressed,3rd Party %,Error Rate %,Quality Score
Travel-2,homepage,run1,205,27,11,0,11.8,0,0,83.4,0.0,68.1
Travel-2,homepage,run2,201,24,8,0,11.8,0,0,85.1,0.0,71.4
Travel-2,homepage,run3,264,36,18,0,10.0,0,0,83.0,0.0,68.8
Travel-2,search-results,run1,262,61,19,0,41.9,1,12,83.6,0.0,58.5
Travel-2,search-results,run2,279,78,16,0,60.3,1,30,85.3,0.0,50.6
Travel-2,search-results,run3,279,77,19,0,55.9,1,25,85.3,0.0,53.3
Commerce-1,homepage,run1,548,36,9,0,70.4,0,1,27.6,2.8,68.7
Commerce-1,homepage,run2,496,33,9,0,79.2,0,1,25.8,3.0,67.2
Commerce-1,homepage,run3,528,41,12,0,75.0,0,1,28.6,2.4,66.8
Commerce-1,search-results,run1,339,36,11,0,88.9,0,1,32.2,2.8,63.3
Commerce-1,search-results,run2,323,35,11,0,88.5,0,1,33.7,2.9,63.5
Commerce-1,search-results,run3,323,37,13,0,89.3,0,1,39.3,2.7,62.1
Reference-2,homepage,run1,173,11,1,0,18.2,0,0,0.0,0.0,95.0
Reference-2,homepage,run2,146,10,1,0,20.0,0,0,0.0,0.0,85.5
Reference-2,homepage,run3,146,10,1,0,20.0,0,0,0.0,0.0,85.5
Reference-2,search-results,run1,204,13,2,0,27.3,1,3,0.0,0.0,83.1
Reference-2,search-results,run2,165,12,2,0,30.0,1,2,0.0,0.0,78.4
Reference-2,search-results,run3,165,12,2,0,30.0,1,2,0.0,0.0,78.4
News-1,homepage,run1,680,77,10,0,31.4,2,3,93.2,1.3,57.0
News-1,homepage,run2,724,85,12,0,32.4,2,3,93.6,1.2,56.5
News-1,homepage,run3,738,82,14,0,32.4,2,3,93.8,1.2,56.5
News-1,section,run1,646,95,14,0,22.7,2,3,98.0,1.1,56.4
News-1,section,run2,653,94,14,0,22.7,2,3,98.0,1.1,56.5
News-1,section,run3,650,94,14,0,22.7,2,3,98.0,1.1,57.8
Travel-1,homepage,run1,301,71,44,0,64.8,0,9,78.4,0.0,61.4
Travel-1,homepage,run2,283,61,34,0,60.7,0,9,78.8,0.0,62.9
Travel-1,homepage,run3,287,64,37,0,57.8,0,9,80.1,0.0,62.8
Travel-1,search-results,run1,334,78,51,0,70.1,0,8,75.4,0.0,60.4
Travel-1,search-results,run2,290,75,49,0,68.9,0,5,75.5,0.0,59.5
Travel-1,search-results,run3,289,73,47,0,68.5,0,5,76.1,0.0,59.4
News-2,homepage,run1,141,85,1,0,6.2,7,65,22.7,0.0,59.2
News-2,homepage,run2,142,86,2,0,6.1,7,65,22.5,0.0,57.7
News-2,homepage,run3,141,85,1,0,6.2,7,65,22.7,0.0,59.2
News-2,section,run1,61,32,0,0,0.0,0,21,18.0,0.0,79.0
News-2,section,run2,60,32,0,0,0.0,0,21,16.7,0.0,81.2
News-2,section,run3,61,33,1,0,0.0,0,21,18.0,0.0,81.5
Classifieds-1,homepage,run1,6,0,0,0,0.0,0,0,0.0,0.0,100.0
Classifieds-1,homepage,run2,6,0,0,0,0.0,0,0,0.0,0.0,100.0
Classifieds-1,homepage,run3,6,0,0,0,0.0,0,0,0.0,0.0,100.0
Classifieds-1,listings,run1,131,6,0,0,0.0,2,0,0.0,0.0,94.6
Classifieds-1,listings,run2,131,6,0,0,0.0,2,0,0.0,0.0,95.3
Classifieds-1,listings,run3,131,6,0,0,0.0,2,0,0.0,0.0,95.3
DevBlog-1,homepage,run1,74,6,1,0,0.0,0,0,4.1,0.0,97.5
DevBlog-1,homepage,run2,79,8,3,0,0.0,0,2,3.8,25.0,84.5
DevBlog-1,homepage,run3,79,8,3,0,0.0,0,0,3.8,0.0,94.6
DevBlog-1,tag-page,run1,48,3,0,0,0.0,0,0,6.2,0.0,98.7
DevBlog-1,tag-page,run2,48,3,0,0,0.0,0,0,6.2,0.0,98.5
DevBlog-1,tag-page,run3,48,3,0,0,0.0,0,0,6.2,0.0,98.6
Commerce-2,homepage,run1,188,24,0,0,12.5,1,0,87.8,0.0,81.9
Commerce-2,homepage,run2,174,24,0,0,12.5,1,0,86.8,0.0,81.8
Commerce-2,homepage,run3,197,24,0,0,12.5,1,0,88.3,0.0,81.8
Commerce-2,search-results,run1,242,38,0,0,13.2,1,2,87.2,0.0,81.7
Commerce-2,search-results,run2,288,42,0,0,16.7,1,2,89.2,0.0,80.8
Commerce-2,search-results,run3,301,44,0,0,16.3,1,2,89.4,0.0,80.4
DevTool-1,pull-requests,run1,129,1,0,0,0.0,0,0,96.1,0.0,85.6
DevTool-1,pull-requests,run2,129,1,0,0,0.0,0,0,96.1,0.0,85.6
DevTool-1,pull-requests,run3,129,1,0,0,0.0,0,0,96.1,0.0,85.6
DevTool-1,repository,run1,148,7,0,0,0.0,0,0,92.6,0.0,84.6
DevTool-1,repository,run2,148,7,0,0,0.0,0,0,92.6,0.0,85.7
DevTool-1,repository,run3,148,7,0,0,0.0,0,0,92.6,0.0,85.6
Government-1,homepage,run1,16,0,0,0,0.0,0,0,0.0,0.0,100.0
Government-1,homepage,run2,16,0,0,0,0.0,0,0,0.0,0.0,100.0
Government-1,homepage,run3,16,0,0,0,0.0,0,0,0.0,0.0,100.0
Government-1,service-page,run1,11,0,0,0,0.0,0,0,0.0,0.0,100.0
Government-1,service-page,run2,11,0,0,0,0.0,0,0,0.0,0.0,100.0
Government-1,service-page,run3,11,0,0,0,0.0,0,0,0.0,0.0,100.0
