Site,Category,Architecture,Avg Requests,Avg API Calls,Page Size (KB),Quality Score,Redundant Calls,N+1 Patterns,Missing Cache %,Oversized,Uncompressed,3rd Party %,Error Rate %
News-1,news,server-rendered + hydration,681.8,87.8,9313.7,56.8,13.0,0.0,27.4,2.0,3.0,95.8,1.2
Utility-1,utility,heavy ads + API-driven,2683.7,243.7,11274.9,59.9,73.5,0.3,39.0,0.7,9.2,96.7,0.7
Commerce-3,e-commerce,React SPA + SSR,433.2,62.3,4934.2,60.8,26.2,0.0,58.8,0.0,2.0,85.0,0.0
Travel-1,travel,server-rendered + heavy JS,297.3,70.3,6727.9,61.1,43.7,0.0,65.1,0.0,7.5,77.4,0.0
Travel-2,travel,React SSR + client hydration,248.3,50.5,4358.4,61.8,15.2,0.0,31.9,0.5,11.2,84.3,0.0
Entertainment-1,entertainment,Next.js SSR,1618.7,131.3,8089.1,63.6,25.7,0.0,36.9,0.0,9.0,98.7,0.2
Commerce-1,e-commerce,server-rendered + heavy JS hydration,426.2,36.3,5936.5,65.3,10.8,0.0,81.9,0.0,1.0,31.2,2.8
News-2,news,heavy client-side rendering,101.0,58.8,11311.2,69.6,0.8,0.0,3.1,3.5,43.0,20.1,0.0
News-3,news,React SSR + heavy JS,971.5,56.5,25816.5,70.9,8.2,0.0,37.4,1.0,3.5,60.8,0.0
DevTool-2,developer-tools,server-rendered + jQuery,349.3,25.5,2430.8,78.7,3.8,0.0,24.4,0.0,0.7,79.0,0.0
Commerce-2,e-commerce,server-rendered + Marko.js,231.7,32.7,4683.2,81.4,0.0,0.0,14.0,1.0,1.0,88.1,0.0
Reference-2,reference,"server-rendered, legacy",166.5,11.3,1202.5,84.3,1.5,0.0,24.2,0.5,1.2,0.0,0.0
DevTool-1,developer-tools,server-rendered + Turbo/Stimulus,138.5,4.0,1544.9,85.4,0.0,0.0,0.0,0.0,0.0,94.3,0.0
Reference-1,reference,"server-rendered, minimal JS",59.5,0.5,1364.5,92.2,0.0,0.0,0.0,0.0,0.0,51.8,0.0
DevBlog-1,developer-blog,Rails + Preact (Forem),62.7,5.2,1050.8,95.4,1.2,0.0,0.0,0.0,0.3,5.0,4.2
Classifieds-1,classifieds,minimal server-rendered HTML,68.5,3.0,1612.3,97.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Government-1,government,"server-rendered, progressive enhancement",13.5,0.0,181.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forum-1,forum,minimal server-rendered,6.0,0.0,12.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
